,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
56,qaanaaq,100,GL,1569858125,69,77.48,-69.36,32.99,10.09
57,port elizabeth,90,CD,1569858126,59,-7.04,29.76,75.65,3.76
58,hammerfest,75,NO,1569858126,80,70.66,23.68,41.0,27.51
59,buchanan,75,LR,1569858126,70,5.88,-10.05,87.8,14.99
60,vao,98,EE,1569858127,89,59.1,26.19,54.41,7.92
61,woodstock,20,CA,1569857962,77,43.13,-80.75,66.99,10.29
62,seoul,0,KR,1569858034,100,37.57,126.98,66.2,3.36
63,port hedland,90,CD,1569858119,59,-7.04,29.76,75.65,3.76
64,tekirdag,0,TR,1569857841,47,40.98,27.51,77.0,8.05
65,chumikan,100,RU,1569858127,79,54.72,135.31,37.13,5.21
66,khatanga,1,RU,1569858128,82,71.98,102.47,23.99,5.73
67,hilo,90,US,1569858128,78,19.71,-155.08,75.2,4.7
68,makakilo city,20,US,1569858123,73,21.35,-158.09,80.6,21.21
69,bluff,0,AU,1569858128,26,-23.58,149.07,67.91,10.2
70,victoria,90,BN,1569858087,88,5.28,115.24,78.8,1.12
71,haputale,20,LK,1569858129,100,6.77,80.96,78.8,2.24
72,kavieng,100,PG,1569858129,71,-2.57,150.8,83.21,9.86
73,dunedin,80,NZ,1569858130,70,-45.87,170.5,43.0,20.0
74,vardo,90,US,1569858130,94,39.62,-77.74,69.01,4.83
75,lebu,97,ET,1569858130,89,8.96,38.73,59.63,2.89
76,palmer,0,AU,1569858130,58,-34.85,139.16,60.01,4.7
77,coihaique,75,CL,1569858131,45,-45.58,-72.07,42.8,6.93
78,labuhan,100,ID,1569858131,75,-2.54,115.51,73.13,1.03
79,lindi,20,TZ,1569858131,78,-10.0,39.71,80.6,11.41
80,jiuquan,0,CN,1569858131,12,39.73,98.49,70.61,6.53
81,turtas,100,RU,1569858132,95,58.94,69.13,38.57,7.2
82,yellowknife,75,CA,1569858132,69,62.45,-114.38,41.0,13.87
83,albany,40,US,1569857913,48,42.65,-73.75,63.0,8.05
84,namtsy,40,RU,1569858132,80,62.72,129.66,35.6,6.71
85,omboue,97,GA,1569858133,81,-1.57,9.26,76.19,13.35
86,maine-soroa,100,NE,1569858133,46,13.21,12.02,88.43,9.64
87,cimarron hills,1,US,1569858134,65,37.81,-100.35,81.0,23.04
88,ampanihy,0,MG,1569858134,77,-24.69,44.75,72.77,7.02
89,thompson,75,CA,1569858134,61,55.74,-97.86,32.0,8.05
90,lompoc,1,US,1569857954,93,34.64,-120.46,59.0,3.36
91,nikolskoye,90,RU,1569858135,87,59.7,30.79,55.0,8.95
92,mitsamiouli,40,KM,1569858135,69,-11.38,43.28,82.4,11.41
93,vaini,75,IN,1569858135,94,15.34,74.49,69.8,2.35
94,port blair,90,CD,1569858126,59,-7.04,29.76,75.65,3.76
95,lavrentiya,49,RU,1569858136,93,65.58,-170.99,31.37,3.11
96,avarua,100,CK,1569857984,68,-21.21,-159.78,69.8,3.36
97,castro,75,CL,1569858136,86,-42.48,-73.76,41.0,6.93
98,victoria point,90,BN,1569858089,88,5.28,115.24,78.8,1.12
99,namibe,20,AO,1569858136,69,-15.19,12.15,73.4,13.87
100,vila velha,40,IT,1569858137,47,45.18,8.4,82.0,8.05
101,jamestown,0,AU,1569858137,44,-33.21,138.6,57.11,16.31
102,koumac,35,NC,1569858137,83,-20.56,164.28,72.05,16.42
103,yerbogachen,88,RU,1569858137,86,61.28,108.01,27.05,5.08
104,nagato,75,JP,1569858138,94,34.35,131.14,75.99,2.24
105,floro,40,NO,1569858138,70,61.6,5.03,46.4,27.51
106,seymchan,100,RU,1569858138,79,62.93,152.39,23.27,8.41
107,iquique,0,CL,1569858139,63,-20.22,-70.14,64.4,14.99
108,codrington,40,AU,1569858139,72,-28.95,153.24,66.2,4.7
109,fairbanks,90,US,1569858080,93,64.84,-147.72,44.6,4.7
110,weligama,67,LK,1569858139,75,5.97,80.42,81.77,7.18
111,half moon bay,75,LR,1569858139,70,6.38,-10.7,87.8,14.99
112,bethel,90,US,1569858140,100,60.79,-161.76,44.6,5.82
113,saint-philippe,90,CA,1569858140,75,45.36,-73.48,52.0,6.93
114,lata,96,IN,1569858140,94,30.78,78.62,39.47,1.54
115,dhangadhi,61,NP,1569858141,96,28.7,80.57,67.91,1.25
116,esperance,40,AU,1569858141,88,-33.86,121.89,62.6,12.75
117,pevek,99,RU,1569858141,70,69.7,170.27,32.81,9.37
118,murindo,75,CO,1569858141,67,6.98,-76.75,84.47,5.37
119,bambous virieux,40,MU,1569858142,78,-20.26,57.41,73.4,11.41
120,melilla,75,EC,1569858142,74,-0.8,-80.23,78.8,9.17
121,houma,10,CN,1569858142,50,35.63,111.36,72.77,8.34
122,boyolangu,99,ID,1569858143,93,-8.09,111.9,65.75,6.62
123,vitim,100,RU,1569858143,83,59.44,112.57,28.49,1.9
124,chapais,90,CA,1569858143,60,49.78,-74.86,39.2,0.83
125,oneonta,100,US,1569858143,59,42.45,-75.06,62.01,1.99
126,yulara,99,AU,1569858144,15,-25.24,130.99,77.0,8.05
127,broome,20,GB,1569858144,67,52.47,1.45,64.0,8.05
128,concarneau,90,FR,1569858145,100,47.88,-3.92,64.4,14.99
129,tiarei,0,PF,1569858145,83,-17.53,-149.33,73.4,5.82
130,lagoa,0,PT,1569858145,73,37.14,-8.45,80.01,5.82
131,richard toll,90,CA,1569858146,90,52.7,-107.7,34.0,12.75
132,vila franca do campo,40,IT,1569858146,47,45.18,8.4,82.0,8.05
133,cap malheureux,90,FR,1569858146,87,49.27,-1.21,66.2,16.11
134,chokurdakh,100,RU,1569858146,93,70.62,147.9,23.27,8.19
135,puerto penasco,75,AR,1569858147,74,-51.62,-69.23,33.8,12.75
136,sitka,95,US,1569858147,67,37.17,-99.65,79.0,23.0
137,dmitriyevka,0,GE,1569858147,70,43.08,41.0,68.45,3.87
138,portland,20,US,1569857462,53,43.66,-70.25,55.99,5.82
139,isangel,100,VU,1569858148,85,-19.55,169.27,74.75,15.82
140,creel,100,MX,1569858148,68,27.75,-107.63,65.57,5.53
141,fortuna,1,US,1569858148,93,40.6,-124.16,48.99,10.29
142,nouadhibou,75,MR,1569858148,78,20.93,-17.03,71.6,16.11
143,santa cruz,100,PH,1569858149,73,17.49,120.43,83.39,8.55
144,tabou,10,CI,1569858149,76,4.42,-7.36,83.21,6.46
145,roald,75,NO,1569858149,61,62.58,6.12,48.2,19.46
146,provideniya,0,RU,1569858150,88,64.42,-173.23,33.35,1.88
147,freetown,75,BS,1569858150,65,26.61,-78.36,80.6,19.46
148,berdigestyakh,84,RU,1569858150,93,62.1,126.7,31.91,7.38
149,pasighat,100,IN,1569858150,92,28.06,95.33,65.03,1.66
150,shenjiamen,100,CN,1569858151,92,29.96,122.3,74.21,6.62
151,cascais,20,PT,1569858151,61,38.7,-9.42,79.0,9.17
152,norman wells,40,US,1569857985,78,35.22,-97.44,82.0,16.11
153,zarzal,75,CO,1569858151,83,4.39,-76.07,71.6,2.46
154,maceio,40,BR,1569858151,62,-9.67,-35.74,84.2,14.99
155,mabaruma,22,GY,1569858152,54,8.2,-59.78,90.95,4.99
156,saint-pierre,20,FR,1569858152,68,48.95,4.24,66.2,12.75
157,mbuji-mayi,78,CD,1569858152,52,-6.13,23.6,85.01,4.14
158,aklavik,90,CA,1569858153,93,68.22,-135.01,41.0,2.24
159,carnarvon,0,ZA,1569858153,19,-30.97,22.13,62.69,17.11
160,severo-kurilsk,53,RU,1569858153,73,50.68,156.12,45.59,17.45
161,sao filipe,100,IN,1569858154,85,20.51,76.21,75.11,3.89
162,klaksvik,99,FO,1569858154,65,62.23,-6.59,44.6,21.92
163,faanui,19,PF,1569858154,74,-16.48,-151.75,77.81,15.68
164,itarema,63,BR,1569858154,44,-2.92,-39.92,90.23,14.09
165,denpasar,40,ID,1569858019,94,-8.65,115.22,77.0,2.24
166,marau,0,BR,1569858155,44,-28.45,-52.2,77.0,20.8
167,bonavista,100,CA,1569858155,81,48.65,-53.11,46.0,23.0
168,dongsheng,0,CN,1569858155,40,29.72,112.52,75.29,2.35
169,rio grande,75,US,1569858156,78,41.11,-90.4,79.0,9.17
170,puerto escondido,75,AR,1569858156,74,-51.62,-69.23,33.8,12.75
171,atuona,0,PF,1569858156,78,-9.8,-139.03,78.89,19.51
172,airai,0,TL,1569858156,88,-8.93,125.41,69.17,4.59
173,rosarito,75,CO,1569858157,82,4.91,-75.23,80.6,10.29
174,morondava,0,MG,1569858157,72,-20.3,44.28,77.45,9.69
175,souris,75,CA,1569858157,57,46.36,-62.25,54.0,14.99
176,bredasdorp,94,ZA,1569858157,48,-34.53,20.04,64.4,10.29
177,takoradi,63,GH,1569858158,67,4.89,-1.75,85.37,8.95
178,kahului,1,US,1569858158,78,20.89,-156.47,77.0,11.41
179,mildura,0,AU,1569858158,57,-34.18,142.16,50.0,5.82
180,kaoma,13,ZM,1569858159,7,-14.8,24.8,95.63,10.07
181,necochea,100,AR,1569858159,96,-38.55,-58.74,57.99,1.99
182,udachnyy,90,RU,1569858159,79,66.42,112.4,23.0,4.47
183,lamar,1,US,1569858159,39,38.09,-102.62,80.6,23.04
184,wommelgem,40,BE,1569858160,59,51.2,4.52,64.99,11.41
185,tautira,0,PF,1569858160,83,-17.73,-149.15,73.4,5.82
186,cabo san lucas,0,ES,1569858160,69,43.18,-5.8,82.0,3.36
187,narsaq,75,GL,1569858160,28,60.91,-46.05,55.4,20.8
188,kerrville,90,US,1569858155,78,30.05,-99.14,82.99,17.22
189,don sak,1,AU,1569858161,93,-41.18,146.32,35.01,2.93
190,suhbaatar,91,MN,1569858161,71,50.23,106.21,47.21,9.19
191,havelock,90,US,1569858026,69,34.88,-76.9,82.4,11.41
192,lagos,40,NG,1569857945,79,6.46,3.39,84.2,10.29
193,riyadh,40,SA,1569858162,20,24.63,46.72,96.8,2.24
194,sohag,0,EG,1569858162,15,26.55,31.7,89.87,15.1
195,kununurra,2,AU,1569858162,60,-15.77,128.74,73.4,1.81
196,viedma,39,AR,1569858162,24,-40.81,-62.99,59.63,18.39
197,longyearbyen,75,NO,1569858162,73,78.22,15.63,32.0,11.41
198,puerto narino,75,AR,1569858147,74,-51.62,-69.23,33.8,12.75
199,itoman,75,JP,1569858163,83,26.12,127.67,82.4,13.87
200,sterling,90,US,1569857948,94,39.0,-77.4,70.0,3.36
201,dikson,87,RU,1569858163,79,73.51,80.55,29.57,8.28
202,nevers,20,FR,1569858163,56,46.99,3.16,68.0,3.36
203,formoso do araguaia,6,BR,1569858164,33,-14.95,-46.23,90.23,5.39
204,maputo,40,MZ,1569858146,64,-25.97,32.57,75.2,17.22
205,port-gentil,90,GA,1569858164,74,-0.72,8.78,80.6,11.41
206,ocampo,75,MX,1569858164,84,27.32,-102.4,67.55,8.39
207,darhan,100,MN,1569858165,77,49.49,105.92,46.85,12.41
208,kutum,67,SD,1569858165,17,14.2,24.66,92.03,14.65
209,cukai,100,MY,1569858165,94,4.25,103.42,77.0,1.05
210,carnduff,100,CA,1569858166,97,49.17,-101.8,36.0,11.01
211,nautla,7,MX,1569858166,66,20.22,-96.78,84.11,7.49
212,beyneu,3,KZ,1569858166,46,45.32,55.19,60.71,5.95
213,trinidad,40,BO,1569858166,52,-14.83,-64.9,93.2,12.75
214,tiksi,85,RU,1569858167,87,71.64,128.87,23.81,8.95
215,miyazu,66,JP,1569858167,97,35.58,135.2,65.39,1.21
216,ilulissat,20,GL,1569858167,55,69.22,-51.1,39.2,3.36
217,evensk,96,RU,1569858167,88,61.92,159.24,36.59,0.89
218,kenora,90,CA,1569858168,100,49.76,-94.48,44.6,14.99
219,iqaluit,75,CA,1569858168,93,63.75,-68.52,37.4,8.05
220,hong gai,1,US,1569858168,74,37.9,-94.42,82.0,14.99
221,leningradskiy,87,RU,1569858168,66,69.38,178.42,28.31,8.68
222,sabang,100,PH,1569858169,89,13.8,121.11,80.01,3.0
223,ano mera,100,PH,1569858169,91,15.95,120.39,75.65,3.47
224,dingle,100,PH,1569858169,92,11.0,122.67,76.01,2.08
225,honiara,40,SB,1569858170,94,-9.43,159.96,73.4,4.7
226,fort nelson,100,IN,1569858170,83,17.96,79.61,77.27,5.21
227,grand river south east,75,FR,1569858170,63,48.39,5.49,66.2,5.82
228,leh,66,IN,1569858170,43,34.16,77.58,40.55,7.72
229,talcahuano,40,CL,1569858171,76,-36.72,-73.12,51.8,6.93
230,gambo,58,CF,1569858171,70,4.65,22.26,79.97,1.57
231,esmeraldas,75,BR,1569858171,51,-19.76,-44.31,82.4,5.82
232,ouadda,100,CF,1569858171,91,8.07,22.4,74.03,1.7
233,tuatapere,67,NZ,1569858171,66,-46.13,167.69,46.13,19.28
234,kasongo-lunda,100,CD,1569858172,57,-6.48,16.82,81.59,3.76
235,petropavlovsk-kamchatskiy,0,RU,1569858172,69,53.05,158.65,39.2,4.47
236,ambilobe,5,MG,1569858172,67,-13.19,49.05,80.87,10.36
237,vila,40,IT,1569858172,47,45.18,8.4,82.0,8.05
238,cogua,40,CO,1569858173,52,5.06,-73.98,64.4,4.7
239,ituverava,0,BR,1569858173,33,-20.34,-47.78,87.8,8.05
240,kidal,0,ML,1569858173,6,18.44,1.41,107.33,5.86
241,saltillo,40,MX,1569857876,64,25.42,-100.99,75.99,3.27
242,lakeway,90,US,1569858174,100,30.36,-97.99,84.99,9.17
243,biu,81,NG,1569858174,64,10.61,12.19,82.85,6.04
244,impfondo,89,CD,1569858174,68,1.62,18.06,82.85,4.97
245,coquimbo,90,CL,1569858174,82,-29.95,-71.34,55.4,2.24
246,bilma,1,NE,1569858175,9,18.69,12.92,102.83,11.65
247,ancud,75,CL,1569858175,86,-41.87,-73.83,41.0,6.93
248,aleksandrov gay,100,RU,1569858175,91,56.4,38.71,51.89,10.04
249,atar,100,MR,1569858175,14,20.52,-13.05,104.99,8.97
250,cockburn town,0,AU,1569858176,40,-32.08,141.0,51.8,5.82
251,buin,90,CL,1569858176,87,-33.73,-70.74,55.4,4.7
252,adrar,0,DZ,1569858176,8,27.87,-0.29,107.6,12.75
253,san policarpo,24,ML,1569858107,25,13.3,-4.9,99.95,8.81
254,chunskiy,0,RU,1569858177,80,56.08,99.63,32.63,6.73
255,taitung,100,TW,1569858177,87,22.76,121.15,61.25,8.61
256,tado,0,ID,1569858177,86,-8.75,120.47,77.99,18.21
257,paraiso,40,BR,1569858177,52,-0.03,-51.17,93.2,11.41
258,dutlwe,7,BW,1569858178,16,-23.98,23.93,74.21,18.66
259,saldanha,0,PT,1569858178,33,41.42,-6.55,81.77,6.49
260,egvekinot,100,RU,1569858178,97,66.32,-179.17,31.91,6.02
261,port macquarie,90,CD,1569858119,59,-7.04,29.76,75.65,3.76
262,manokwari,9,ID,1569858179,78,-0.87,134.08,71.51,6.06
263,avera,1,US,1569858179,46,33.19,-82.53,91.0,3.36
264,saskylakh,88,RU,1569858179,96,71.97,114.09,23.63,8.23
265,nara,62,JP,1569858180,88,34.68,135.8,80.01,1.12
266,beloha,0,MG,1569858180,63,-25.17,45.06,76.91,12.26
267,srednekolymsk,100,RU,1569858180,95,67.46,153.71,27.05,8.97
268,pisco,90,PE,1569858046,30,-13.71,-76.2,71.6,8.05
269,mys shmidta,100,RU,1569858181,94,62.06,48.62,43.43,9.28
270,cairns,3,AU,1569857893,83,-16.92,145.77,71.6,1.12
271,caravelas,66,BR,1569858181,82,-17.73,-39.27,75.29,10.85
272,tabuk,100,PH,1569858181,97,17.41,121.44,64.13,1.19
273,canoinhas,64,BR,1569858182,56,-26.18,-50.4,71.69,5.12
274,tasiilaq,40,GL,1569858182,70,65.61,-37.64,42.8,5.82
275,tezu,100,IN,1569858182,94,27.93,96.16,68.63,0.92
276,ponta do sol,40,BR,1569858182,46,-0.53,-65.05,94.19,3.13
277,katsuura,75,JP,1569858183,83,33.93,134.5,77.0,3.36
278,kuandian,0,CN,1569858183,94,40.73,124.78,58.55,1.74
279,bella union,20,IT,1569858183,57,40.76,15.54,78.8,12.75
280,yeppoon,2,AU,1569858184,88,-23.13,150.74,69.8,1.14
281,qingdao,0,CN,1569858184,83,36.09,120.35,69.8,6.71
282,salina,1,US,1569858127,65,38.84,-97.61,84.0,17.22
283,santa isabel do rio negro,100,PH,1569858184,73,17.49,120.43,83.39,8.55
284,port augusta,90,CD,1569858185,59,-7.04,29.76,75.65,3.76
285,pimenta bueno,4,BR,1569858185,43,-20.48,-45.8,80.15,6.87
286,palmas,20,BR,1569858185,65,-10.18,-48.33,82.4,6.93
287,kachiry,50,KZ,1569858186,59,53.07,76.1,36.77,4.83
288,naron,75,ES,1569858186,64,43.52,-8.15,75.2,18.34
289,marzuq,63,YE,1569858186,49,14.4,46.47,79.07,8.5
290,jalu,68,LY,1569857916,26,29.03,21.55,91.13,13.58
291,lovozero,100,RU,1569858186,97,68.01,35.02,41.63,9.55
292,thomaston,1,US,1569858187,42,32.89,-84.33,90.0,3.36
293,aden,58,YE,1569858187,61,12.79,45.03,88.25,13.18
294,najran,20,SA,1569858187,27,17.54,44.22,87.8,4.7
295,itaituba,40,BR,1569858188,52,-4.26,-55.99,93.2,6.93
296,morro bay,73,EC,1569858188,76,-2.63,-80.33,78.01,4.0
297,santa maria,100,PH,1569858188,73,17.49,120.43,83.39,8.55
298,fatehpur,0,PK,1569858188,38,31.18,71.21,89.87,7.56
299,camacupa,23,AO,1569858189,13,-12.02,17.48,87.71,6.49
300,souillac,90,FR,1569858189,60,45.6,-0.6,73.4,3.36
301,honningsvag,75,NO,1569858189,86,70.98,25.97,41.0,14.99
302,port lincoln,90,CD,1569858119,59,-7.04,29.76,75.65,3.76
303,vestmannaeyjar,40,IS,1569858190,81,63.44,-20.27,48.2,6.93
304,torma,89,EE,1569858190,87,58.82,26.74,55.4,5.82
305,pitimbu,75,BR,1569858190,58,-7.47,-34.81,84.2,13.87
306,bloomfield,1,US,1569858191,78,40.75,-92.42,80.6,14.99
307,tocopilla,0,CL,1569858191,83,-22.09,-70.2,57.83,11.34
308,pacsa,0,HU,1569858191,44,46.72,17.01,80.6,5.82
309,constitucion,90,MX,1569858191,77,23.99,-104.67,64.99,6.93
310,dengzhou,35,CN,1569858192,40,32.69,112.08,75.83,4.92
311,simao,100,CN,1569858192,93,22.76,100.79,64.49,0.98
312,marystown,48,CA,1569858192,58,47.17,-55.16,49.01,17.31
313,port hueneme,90,CD,1569858192,59,-7.04,29.76,75.65,3.76
314,kuytun,100,RU,1569858193,76,54.34,101.51,35.69,6.2
315,limoges,90,FR,1569858193,72,45.84,1.26,66.99,9.17
316,nizhniy tsasuchey,20,RU,1569858193,68,45.39,39.24,66.0,6.71
317,kaspiysk,0,RU,1569858194,82,42.88,47.64,64.4,11.18
318,taltal,35,CL,1569858194,69,-25.41,-70.49,58.19,7.23
319,myitkyina,100,MM,1569858194,90,25.38,97.4,70.43,2.93
320,manisa,0,TR,1569858195,36,38.62,27.43,84.2,9.17
321,mola di bari,100,CN,1569858195,99,27.62,98.74,49.19,1.92
322,chernyshevsk,68,RU,1569858195,78,52.51,117.01,46.13,4.0
323,banda aceh,72,IN,1569858195,81,28.24,80.11,76.37,4.59
324,mangaratiba,90,BR,1569857933,61,-22.96,-44.04,77.0,6.93
325,saurimo,40,AO,1569858196,48,-9.66,20.4,86.0,5.82
326,chimore,22,BO,1569858196,31,-16.98,-65.13,93.65,5.3
327,kadoma,62,JP,1569858196,88,34.73,135.6,80.01,1.12
328,atbasar,0,KZ,1569858197,65,51.81,68.36,37.85,1.16
329,salalah,40,OM,1569858197,74,17.01,54.1,82.4,9.17
330,santa barbara,100,PH,1569858184,73,17.49,120.43,83.39,8.55
331,jiaonan,0,CN,1569858197,83,35.88,119.98,69.8,6.71
332,tirumullaivasal,50,IN,1569858198,76,11.24,79.84,78.71,2.98
333,beira,75,ES,1569858198,64,43.2,-8.36,75.2,18.34
334,hamilton,75,CA,1569857911,82,43.26,-79.87,63.0,12.75
335,oktyabrskoye,75,RU,1569858199,93,56.73,85.44,39.0,8.95
336,challapata,0,BO,1569858199,55,-18.9,-66.78,50.45,11.9
337,quata,0,BR,1569858199,18,-22.25,-50.7,90.05,9.42
338,chongwe,76,ZM,1569858199,11,-15.33,28.68,91.4,11.41
339,biloela,0,AU,1569858200,36,-24.4,150.51,58.91,4.54
340,ambrolauri,0,GE,1569858200,68,42.52,43.15,71.6,1.12
341,ust-maya,100,RU,1569858200,98,60.42,134.54,30.65,4.14
342,bongor,36,TD,1569858200,57,10.28,15.37,86.27,0.92
343,kodinar,99,IN,1569858201,92,20.79,70.7,77.45,7.78
344,mount isa,20,GB,1569858201,76,53.66,-1.85,60.01,3.36
345,marienburg,40,DE,1569858201,63,52.12,9.98,62.6,20.8
346,pandharpur,100,IN,1569858201,69,17.68,75.33,79.79,12.37
347,ambulu,92,ID,1569858202,85,-8.35,113.61,74.39,9.78
348,jinchang,0,CN,1569858202,26,38.52,102.19,63.95,2.53
349,rusape,0,ZW,1569858202,10,-18.53,32.12,85.19,5.08
350,plettenberg bay,75,DE,1569858203,87,51.21,7.87,64.0,5.82
351,morant bay,20,JM,1569858203,66,17.9,-76.43,87.8,13.87
352,hervey bay,20,US,1569858203,74,33.5,-93.78,84.0,11.41
353,cayenne,20,GF,1569858204,59,4.94,-52.33,89.6,12.75
354,aksu,0,KZ,1569858204,80,52.04,76.93,33.8,4.47
355,benguela,68,AO,1569858204,82,-12.58,13.4,73.49,13.51
356,vanimo,24,PG,1569858204,69,-2.67,141.3,83.03,3.0
357,faya,40,SA,1569858205,68,18.39,42.45,78.8,6.93
358,ossora,100,RU,1569858205,78,59.24,163.07,38.75,4.74
359,mehriz,20,IR,1569858205,11,31.58,54.44,91.4,4.7
360,mecca,96,SA,1569858205,53,21.43,39.83,90.95,7.43
361,prince rupert,90,CA,1569858206,94,52.97,-108.38,34.0,12.75
362,puro,100,PH,1569858206,82,13.13,123.76,79.97,1.19
363,tromso,75,NO,1569858206,70,69.65,18.96,42.8,23.04
364,iskateley,99,RU,1569858207,87,67.68,53.15,42.17,11.63
365,margate,3,AU,1569858207,75,-43.03,147.26,42.8,6.93
366,havre-saint-pierre,1,CA,1569858207,39,50.23,-63.6,50.0,11.41
367,mount gambier,20,GB,1569858207,76,53.66,-1.85,60.01,3.36
368,talnakh,75,RU,1569858208,100,69.49,88.39,30.2,6.71
369,houston,40,US,1569857718,70,29.76,-95.37,89.01,3.36
370,gobabis,0,NA,1569858208,13,-22.45,18.97,75.2,6.93
371,rawson,0,AR,1569858208,20,-43.3,-65.11,55.13,25.05
372,solnechnyy,100,RU,1569858209,78,50.72,136.64,46.85,3.47
373,alofi,90,NU,1569858209,94,-19.06,-169.92,73.4,5.82
374,kamaishi,0,JP,1569858209,86,39.28,141.86,53.15,2.26
375,kodiak,20,US,1569858210,65,39.95,-94.76,81.0,17.22
376,mount darwin,20,GB,1569858210,76,53.66,-1.85,60.01,3.36
377,mutsu,20,JP,1569858210,93,41.29,141.2,64.4,5.82
378,whyalla,0,AU,1569858210,81,-33.04,137.58,53.6,3.36
379,puri,85,ID,1569858211,71,-7.54,112.45,73.31,9.98
380,tual,1,ID,1569858211,88,-5.67,132.75,79.43,14.7
381,torbay,75,CA,1569858211,65,47.66,-52.73,48.99,25.28
382,husavik,100,CA,1569858211,96,50.56,-96.99,42.01,23.62
383,tilichiki,100,RU,1569858212,98,60.47,166.1,40.73,8.43
384,berezovyy,100,RU,1569858212,72,51.67,135.7,42.71,4.23
385,alugan,100,PH,1569858212,93,12.22,125.48,77.45,4.25
386,dubbo,0,AU,1569858213,62,-32.25,148.6,57.2,14.99
387,lukovetskiy,90,RU,1569858213,100,64.29,41.92,46.4,4.47
